ID,Lat,Lon,Target
ID_CWCD60FGJJYY,32.075695,48.492047,0
ID_5QV3RGD8E6L6,32.309077,48.324152,1
ID_OGEL0LA7Y94S,32.294165,48.17602,0
ID_O4CHBAKY74WZ,32.379146,48.215546,1
ID_7VVCEG83E9SF,32.110459,48.207102,0
ID_NBUO51LOXDEH,32.303507,48.25588,1
ID_S4FZH0QBZOPN,32.310065,48.291633,0
ID_RJD8BACKOCFA,32.085846,48.238992,0
ID_WCVQ3NFKNRJ2,32.455143,48.364486,0
ID_XFF0KHBYXV6S,32.280331,48.393053,1
ID_3DRUZOA3UAGE,32.213676,48.393412,1
ID_DAOBPJI382OT,32.292997,48.452791,1
ID_3PR0OWONVC1U,32.125102,48.22381,0
ID_7RT6AGC8VZMB,32.325875,48.283369,1
ID_TZ41S7PT1ZYC,32.133277,48.326667,1
ID_78PK6N1TP36H,32.302968,48.248873,1
ID_PDHX6WPOVWRB,32.292368,48.258036,1
ID_ZPO98G9T796H,32.150165,48.297831,1
ID_0W9340EJVHD2,32.37124,48.348946,1
ID_B3ORMFDAYD1U,32.102285,48.429524,0
ID_LDCQIN7Q7D3A,32.404298,48.276362,1
ID_GXCBEEGED0L5,32.061591,48.198298,0
ID_9DCL29DYP54J,32.124833,48.310228,1
ID_YNDJOQF1N0VW,32.415078,48.162904,0
ID_81HMDUBS3XH7,32.323091,48.275374,1
ID_AD3YDZL1XCH5,32.235415,48.55439,1
ID_D7LUTUIQZ7FS,32.249249,48.334752,0
ID_GT3TWM2QR2I7,32.381841,48.305018,1
ID_JFOA025TW7YZ,32.261107,48.177367,0
ID_TDXUMBV0TZKA,32.33405,48.142513,1
ID_IKBRZSO6S1P2,32.137499,48.403383,0
ID_TGWAMP5RB1MT,32.125372,48.41587,0
ID_I786J48HNOGL,32.235954,48.439226,1
ID_14WCNGIHOYTP,32.2382,48.51199,1
ID_CU4UVAFIWB90,32.369264,48.259114,1
ID_IDI3XZ7DNXUJ,32.331535,48.29343,1
ID_HDJ154PTN4WK,32.338452,48.387573,1
ID_2EJ4VD5HV22D,32.119802,48.21851,0
ID_451B8S6TAH0D,32.419031,48.140177,0
ID_T2U7QHZU192N,32.207927,48.409492,1
ID_UFOMZYH7ILXR,32.390195,48.528609,1
ID_POQN1QKYTQOG,32.331984,48.305198,0
ID_JYGY5MDK8EG0,32.257154,48.338974,0
ID_ITXKKEUFF85L,32.089888,48.236117,0
ID_S2MASZLR8RS5,32.133636,48.310228,1
ID_FS029OWRM6B0,32.229127,48.416499,1
ID_ON1DPH4SL9FL,32.421905,48.175032,0
ID_JEUVGTQS8J6U,32.330906,48.253724,1
ID_32XPDMBKKJPM,32.33971,48.157515,0
ID_1NHR4UWKB6TM,32.300723,48.38389,1
ID_W1YK95LFF7LP,32.250866,48.556187,1
ID_EHTAULQR4JR2,32.426577,48.322086,0
ID_N10P79A0WR7U,32.207298,48.34643,1
ID_S0RP6ANVY5AB,32.367378,48.259563,1
ID_EGH9P0R5EWKR,32.192566,48.272768,0
ID_KSSDKA0UKVP1,32.422894,48.336549,0
ID_NQ7VNQ3DGNJI,32.474277,48.24007,0
ID_NL6IIXODK3JA,32.261915,48.406438,1
ID_55M997RTD8GD,32.38759,48.496179,1
ID_AX0WROGON0PP,32.234427,48.276991,1
ID_SQC83HRXG6ID,32.077761,48.225337,0
ID_6Q6523CE0MD1,32.438794,48.43177,1
ID_E3NOIAMZ0WGN,32.431967,48.162276,0
ID_5P8O5BKZKGMN,32.291829,48.384609,1
ID_BPTB9F2DMAFP,32.213317,48.409941,1
ID_VN1ODJXT7KOL,32.161753,48.307713,1
ID_Z8F6JOOVRAGG,32.169569,48.289836,1
ID_YCXG96HJT9JI,32.229217,48.417307,1
ID_GZ7S8QWADIIN,32.239637,48.417218,1
ID_LJHBB5HAV7EU,32.089798,48.499234,0
ID_V6QO3W80998J,32.314108,48.228392,1
ID_I42JM7DIQEM8,32.132917,48.411019,0
ID_GFK9EGO571QV,32.212867,48.365744,0
ID_187O7YN1Z2TE,32.09411,48.57074,0
ID_IAYXQCQ2KB80,32.056471,48.376793,0
ID_EE7IU5WEI3J7,32.460353,48.183835,0
ID_6ASTT5H331SJ,32.298836,48.204317,1
ID_367HFP0MHPFC,32.365312,48.243214,1
ID_ZC2QTWX8F9DN,32.407982,48.137302,0
ID_PW9RZUON3QMR,32.310514,48.216085,1
ID_FD2BHLXYXV7B,32.311952,48.290106,0
ID_Z7DS6QO0U74K,32.213317,48.43743,1
ID_SJN7ZHER1Z55,32.458287,48.194795,0
ID_UGMNU9BYO801,32.098961,48.550348,0
ID_BJ6JYW1OBAPJ,32.252663,48.419014,1
ID_0T8OMPKODB9H,32.094469,48.237734,0
ID_UJ3685FO4X0Y,32.213227,48.393592,1
ID_10Y94GPBZWJ9,32.126719,48.216354,0
ID_TKUYZ8V3XRX3,32.317611,48.367541,1
ID_N1L3Y5O00DLF,32.102285,48.220217,0
ID_XBP5W9J7LGWG,32.229217,48.167755,0
ID_E91YPZK42000,32.152501,48.294328,1
ID_EVY0KZO3CZD2,32.235595,48.157964,0
ID_ZSYRO8A2NY2D,32.170826,48.307443,1
ID_I9VQNW4SUICP,32.104081,48.493574,1
ID_HFWL6V0RLP25,32.414899,48.146196,0
ID_X4D28KS5VXAW,32.325426,48.223631,0
ID_ZKWWIP2PWZ1A,32.386242,48.402216,0
ID_0Q2WWBTSCT1T,32.284912,48.425302,1
ID_Z9YYGOK4C8D9,32.475984,48.154101,0
ID_OLLDNEN1QYMT,32.288685,48.166318,0
ID_PYMC7QBQRRB5,32.364952,48.244741,1
ID_1RC42BQA1UZZ,32.239368,48.433028,1
ID_WUO4SBCH45PF,32.422355,48.336459,0
ID_33QVTEATX2KX,32.461791,48.240878,0
ID_TNW3DWNQJ6LV,32.228049,48.167666,0
ID_C0DRIUP5D7GA,32.269731,48.408414,1
ID_ZFTDRFDLGRMB,32.329738,48.20252,1
ID_XBH47HJ6QJ1U,32.086654,48.222912,0
ID_O8DXE2EAZ5V5,32.096086,48.474979,0
ID_E9NTWRKGNRAB,32.28608,48.418385,1
ID_JHV3BSA5H6HB,32.417055,48.145926,0
ID_KPUICPZKKGJK,32.364683,48.220756,1
ID_QMIRV8JNM93E,32.122048,48.418026,0
ID_KTVCC8AZDEZT,32.180169,48.161108,0
ID_3F5KCDX184WG,32.458108,48.147094,0
ID_N1ACXK7Q0P4R,32.30773,48.407156,1
ID_KAXNFT1AKV69,32.234247,48.276452,1
ID_RW515MIYCKJY,32.089978,48.236476,0
ID_K3FLBP2WWMTK,32.123485,48.225607,0
ID_54CQM16GAPJQ,32.216551,48.204137,0
ID_NEI0DFRBQBGQ,32.356867,48.24501,1
ID_806T2BSMXUJR,32.236403,48.295316,1
ID_G50H3OUTPMYY,32.384356,48.362869,1
ID_K18T9D1I37FB,32.22212,48.28804,1
ID_FBYHT1KTXMXE,32.087193,48.226326,0
ID_MA09UFGC12TJ,32.104531,48.429345,0
ID_663AEP6JQPOO,32.235325,48.201083,0
ID_2GCIZ478WKZS,32.391363,48.293879,1
ID_8KUOYJHZ9T9K,32.074796,48.230098,0
ID_BK5DF390S83H,32.231822,48.493844,1
ID_TREH3T5GWKA5,32.282217,48.558433,1
ID_1PTZLB6PZ9OL,32.192745,48.573614,1
ID_M06ZJE672OCD,32.433045,48.161737,0
ID_VHSUZF49ND72,32.300543,48.477494,0
ID_S4DA49CTJFZT,32.212957,48.346071,1
ID_0JB1ZS2QPE8C,32.113154,48.421979,0
ID_CTMXZ4XC9W2Y,32.134804,48.307982,1
ID_06SS9UPGRDWP,32.282756,48.26109,1
ID_3B6ZHPALU7J3,32.121868,48.203418,0
ID_31NV8VSTTEQD,32.306382,48.298101,0
ID_UOM8POIYWIC2,32.460443,48.255161,0
ID_0HGY7T0AVTPU,32.237122,48.256509,1
ID_T2NH6L94WPQ8,32.146392,48.417218,0
ID_268NHUSFH9T2,32.279882,48.427368,1
ID_1O1XSEPKO51T,32.388847,48.185003,0
ID_HESAQXBNNCRF,32.319228,48.126882,0
ID_OLWU34LBJFSL,32.432506,48.161916,0
ID_UX1CFB8KC3F3,32.307011,48.291813,0
ID_3XJR2XL8SX67,32.097434,48.230278,0
ID_HRH78HAAY3EG,32.336745,48.275284,1
ID_I0C9O4MU6F34,32.301082,48.384699,1
ID_Z3FCZ62J0R3Y,32.251495,48.450815,1
ID_M57NSA5AD8TS,32.166694,48.295675,1
ID_ZB2VV7MT5VK2,32.256436,48.18132,0
ID_JCCLTILZ912W,32.316892,48.373649,1
ID_WSW7NT507DF0,32.163819,48.299448,1
ID_UAVX5HO3GWUW,32.101746,48.211952,0
ID_FJGV30QFLCI4,32.256795,48.398892,1
ID_ZL6PGZ98L7VN,32.437087,48.137392,0
ID_B3II55MQIMH9,32.294345,48.389549,1
ID_SL34J3XPA7C0,32.336655,48.276002,1
ID_V031QMCLM34O,32.123126,48.226146,0
ID_JYQ4E0MNE15M,32.177294,48.171888,0
ID_TGMIMA4WUKD7,32.340069,48.300077,1
ID_YHL8Y6KZNJPU,32.37169,48.246178,1
ID_4CHWS6CPOULQ,32.193733,48.325589,1
ID_7JNVGY64TDR9,32.239997,48.284896,1
ID_ULSAXD7E15DB,32.2435,48.408594,1
ID_473DCBYKM88R,32.453796,48.136404,0
ID_RYLVVDF829CG,32.248261,48.172786,0
ID_RC0TG92R0F9I,32.12609,48.202251,0
ID_DFV7Q0G60V1G,32.302879,48.480459,0
ID_PUZ5E75XAC1D,32.435829,48.302862,0
ID_J2ATZIG1J6ED,32.300992,48.447221,1
ID_G26E37EX2V2X,32.385703,48.260282,1
ID_FYSDI1MBZS55,32.345638,48.196951,1
ID_GHDHN26DRK61,32.102824,48.212042,0
ID_CEGS77J2PBAA,32.325696,48.27708,1
ID_XBHK4BKEQ2DR,32.200471,48.211593,0
ID_ADMRB8VEARER,32.341866,48.336189,0
ID_270V79G6341C,32.106687,48.107928,0
ID_YGUK37JV5YJU,32.282397,48.441921,1
ID_SLAHOVG5WGD6,32.192027,48.351551,1
ID_3GY91L0AM008,32.139116,48.295586,1
ID_VSRQ27XBM8YY,32.230474,48.27708,1
ID_84P9ZCUAF9PJ,32.412293,48.345981,0
ID_N4P6QHM91LEY,32.170826,48.295765,1
ID_6N9GL3DPBXUA,32.303328,48.377153,1
ID_177TRY8NO7MF,32.249519,48.172427,0
ID_9YYVVHK6F1D3,32.375013,48.210425,1
ID_048WTPX84MXY,32.45658,48.235219,0
ID_XC5VVR4Q9UR4,32.270988,48.268816,1
ID_YERWC9STKDIN,32.247093,48.164791,0
ID_T0PH1YZP77JD,32.37133,48.246807,1
ID_9SCVNP1OYF5M,32.107226,48.118887,0
ID_MKBK6D8UOYWR,32.116119,48.425482,0
ID_T6ZHPZ293PI3,32.248171,48.173055,0
ID_6LYQ4OF6LWA3,32.129414,48.189045,0
ID_FZZG8GGN7RZ2,32.095817,48.471116,0
ID_L8OGG18TPVIK,32.278534,48.144669,0
ID_W9GP101QIZ0V,32.105609,48.596521,0
ID_1YWN24Y0B76K,32.086115,48.415062,0
ID_SU0ZG2JNNQT2,32.141721,48.433118,1
ID_5PK1X3ZDD0O9,32.223108,48.453869,0
ID_XZPNNBR5TETL,32.329289,48.577207,0
ID_HIUQ1HGQM5UX,32.108932,48.478662,1
ID_KRG2D7SUI1ID,32.263353,48.289118,1
ID_I5DDWMQCKHEX,32.153399,48.426021,1
ID_FUXTFI5NT6Z8,32.431787,48.463391,0
ID_ZTF9FTCP79V1,32.255448,48.292621,1
ID_OGUXCS40PDMA,32.328211,48.285884,0
ID_L0GX6GJ95FD4,32.121958,48.202969,0
ID_AO01PXG9C53B,32.091505,48.129846,0
ID_0SRTY4XSQF62,32.065634,48.138111,0
ID_WNQ3CAHGAYW0,32.421995,48.139369,0
ID_22W7XNM0NIKM,32.221222,48.438687,1
ID_U9EQESBUWXCR,32.252214,48.474889,1
ID_BXQSEEHWVKJV,32.091595,48.465547,0
ID_MMNM2DEYBL5L,32.248261,48.403383,1
ID_1M8HXI180TIU,32.305124,48.15464,1
ID_4HKLYVRPQPDU,32.275929,48.228212,1
ID_KDN1WCJPMQQ1,32.118634,48.211593,0
ID_OSOT0HQUF6MR,32.16885,48.292981,1
ID_PC16D76DTE1Z,32.091864,48.231536,0
ID_X5CBJ1SC2X9E,32.322731,48.139908,1
ID_CLR323EI6L8E,32.079647,48.236117,0
ID_K3N3FK4XV84K,32.076593,48.23971,0
ID_Y0PX6B0KWBSI,32.193464,48.555199,1
ID_I1HGVH4WDCP1,32.269641,48.176649,0
ID_64KCJ9JCESFW,32.077042,48.494113,0
ID_6YNWDN5Q7TR8,32.330547,48.254443,1
ID_L88N1PAAYDK1,32.236313,48.256599,1
ID_SVK5JQYRPON8,32.143338,48.308611,1
ID_77CDHCOO87JZ,32.12636,48.312564,1
ID_J1ZZX5U4F33M,32.192925,48.296843,1
ID_RWU8A4J2CPL9,32.194542,48.204946,0
ID_5UD3413A6BNR,32.424421,48.380476,0
ID_4YSRLJGXF7OS,32.162472,48.386136,0
ID_2BHJZ3S852TD,32.257604,48.145836,0
ID_GEK632QO8WPJ,32.455772,48.148262,0
