ID,Lat,Lon,Target
ID_R1XF70RMVGL3,14.542826,33.313483,1
ID_0ZBIDY0PEBVO,14.35948,33.284108,1
ID_C20R2C0AYIT0,14.419128,33.52845,0
ID_MMU0PFMDQ7FW,14.204341,33.340792,0
ID_FA7TDFAUVU2A,14.442394,33.292732,1
ID_67DBK0EXDU6W,14.399994,33.492967,1
ID_DXWZP0E8FG9E,14.258599,33.425234,0
ID_MRFDJA9ISXG4,14.303156,33.36882,1
ID_IECISSYAN80G,14.439071,33.301266,0
ID_QIVKUVMV37NW,14.251952,33.206045,1
ID_5YMARFPBSTDF,14.290849,33.316807,1
ID_D055INURBWBL,14.159335,33.200565,0
ID_KSCSPRYSEH64,14.408438,33.32588,0
ID_0VNXL2Q6J4DC,14.227158,33.482636,1
ID_FAXB9O0ADKUU,14.194819,33.38445,0
ID_FFUA5GRFDY62,14.284022,33.262998,1
ID_S9PPVUBPVU3G,14.360468,33.157536,0
ID_PDPOUEXBHPY8,14.323278,33.257249,0
ID_L2U7DUSPD3J0,14.449581,33.143073,0
ID_J731FLUQT2A5,14.427572,33.202541,1
ID_HRZAVE6WD5V9,14.459912,33.229671,1
ID_TVUFHH090MVE,14.369631,33.277551,1
ID_6JY5PGVW90D9,14.30603,33.22985,1
ID_3Q700UD8YAPM,14.206138,33.384899,0
ID_AKMOKH9K8ZIW,14.483268,33.263896,1
ID_L0RJI5FIQEQ8,14.529621,33.48039,0
ID_TGFJKT66QTS5,14.197963,33.263447,1
ID_RNBJNOSWS1OF,14.186554,33.23515,0
ID_845YHZ9HALK5,14.502851,33.323814,1
ID_7JQ221APF44L,14.460181,33.126903,0
ID_SUNMRBSEIX7H,14.306749,33.329653,1
ID_BRUG2R3A8KMO,14.560792,33.502848,0
ID_NZFWCYVAX8W1,14.170834,33.396398,0
ID_8JS6LDZP3LI7,14.362534,33.257518,1
ID_4EBOFVEUNT0P,14.395772,33.535098,0
ID_O5DBOSUYXZ8O,14.299562,33.358669,1
ID_5FK4299SPHIA,14.463235,33.190145,1
ID_LX1ZKV3VGH7F,14.19437,33.226976,1
ID_SKDDFFIYZEHC,14.466649,33.213411,1
ID_QD617Y8O0EYH,14.418948,33.175951,1
ID_0DAEEQV9I7ED,14.194459,33.379779,0
ID_0IIXJN8964FD,14.317169,33.53923,0
ID_4A0H85CHI8A8,14.452995,33.233803,1
ID_O0U9FOUS24UB,14.367385,33.210806,1
ID_SC49W6WL7ZU3,14.279889,33.331809,1
ID_EWO6Z57QRZGL,14.29022,33.481199,1
ID_SP6FBJI7EA3K,14.423889,33.244044,1
ID_1KDYP3YGV9JA,14.405923,33.533032,0
ID_V1UDNFVJXSL5,14.42326,33.200565,1
ID_704WWMJ429SL,14.210539,33.178646,1
ID_3ABTBF5KNVHU,14.195178,33.42748,0
ID_O9RJHJWSIANE,14.303964,33.409513,0
ID_5GS054Q9NS64,14.314025,33.53914,0
ID_UOVFL1H4J6TD,14.406372,33.543811,0
ID_30L3J73G19IL,14.357324,33.378971,1
ID_UW0K47YIMDHZ,14.478058,33.565281,0
ID_64BOOGYVMIS9,14.3699,33.300368,1
ID_53TVVFAU0ZXO,14.283662,33.325161,1
ID_0S9K3QB1P4T0,14.355438,33.233533,1
ID_07HVB7TS229V,14.395682,33.258956,1
ID_X74AO7WWAQTL,14.164186,33.367742,0
ID_WO0LYKZK5Y7O,14.489826,33.483445,0
ID_9K65GHO70ORZ,14.199221,33.364328,0
ID_M7QOIJBSQAER,14.428021,33.25123,1
ID_HZ0UTM7COSBB,14.454971,33.218981,1
ID_B5SBXZ20SWWL,14.331812,33.248445,0
ID_3XCV29T2MLNE,14.425147,33.199397,1
ID_NIWO5ZGAYT6Q,14.174786,33.464041,1
ID_I6E6RM3Q4OB0,14.521177,33.433049,1
ID_PSLYAOLR8MAN,14.465841,33.564023,1
ID_TBAKSBLY0U9B,14.276026,33.340433,1
ID_WDO4SC010QY2,14.343849,33.207123,1
ID_5MHKGMVMOFB7,14.358941,33.272251,0
ID_FHBAM28YTGLH,14.558726,33.503926,0
ID_U8IMWS8GDA3G,14.466829,33.3045,1
ID_7788J3GHLWJL,14.351126,33.27234,1
ID_9MATU2UE9AMH,14.254826,33.244133,1
ID_25W0EV8R380G,14.221589,33.255991,1
